,,Name,Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
35,,@JonathanEspinoza36-r2i,"2025-11-15 17:50:06",1,yes,no,"Este país hay dinero solo que está mal distribuido gente q gana millones por estar sentada como en el congreso por q no le bajan a ellos viáticos y quería más dinero para el país para la gente q si lo necesita realmente el mínimo en otr parte es 700 800 y sin tanta inflación. Se viviría mejor para disfrutar no para sobrevivir hasta cuando lo mismo en este pais",UC_wmbCJ3phj868lMfQxJdoA,UgyQshEiMpLeaw_6vp14AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgyQshEiMpLeaw_6vp14AaABAg
36,,@JonathanEspinoza36-r2i,"2025-11-15 17:50:06",1,yes,no,"Jara más arreglada que la cresta",UC_wmbCJ3phj868lMfQxJdoA,UgxVgZn2Y5kFnt9S2GJ4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgxVgZn2Y5kFnt9S2GJ4AaABAg
37,,@JonathanEspinoza36-r2i,"2025-11-15 17:50:06",1,yes,no,"Jjj Kast cuando le preguntan para bajar la luz se hacen los buenas noches 😅 nunca quieren perder",UC_wmbCJ3phj868lMfQxJdoA,Ugzh4MynTfkkdJiQWix4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugzh4MynTfkkdJiQWix4AaABAg
38,,@JonathanEspinoza36-r2i,"2025-11-15 17:50:06",1,yes,no,"Ominami no sabe lo q dice",UC_wmbCJ3phj868lMfQxJdoA,Ugyui0n_8sPPKj57GrB4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugyui0n_8sPPKj57GrB4AaABAg
39,,@JonathanEspinoza36-r2i,"2025-11-15 17:50:06",3,yes,no,"Que mal que si suben los sueldos mínimos bajen los empleos",UC_wmbCJ3phj868lMfQxJdoA,UgyIbifdHCTu50r0GZx4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgyIbifdHCTu50r0GZx4AaABAg
40,,@JonathanEspinoza36-r2i,"2025-11-15 17:50:06",1,yes,no,"Solo palabras vacías no quieren ayudar al país al agente que cuesta vivir el mes a mes si no que solo buscan adinerarse ellos mismos que lastima la verdad no me convence nadien quizá un poco kaiser q triste",UC_wmbCJ3phj868lMfQxJdoA,UgxVe72ganyXKRmvXbF4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgxVe72ganyXKRmvXbF4AaABAg
41,,@carlesmaximilianum,"2025-11-15 17:50:06",1,yes,no,"Que verguenza de candidatos. Nada concreto puro humo. Ya valimos",UCOOd5Fx41SxJYFcl6UIuI9g,UgzBme8DhUY33h3EsNJ4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgzBme8DhUY33h3EsNJ4AaABAg
42,,@doncatrermelanius,"2025-11-15 17:50:06",1,yes,no,"Franco esta es la tuya wn!!!!!🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱",UCBccGxGhoDTsdRwoKLzYtJg,Ugwjr41EPQ2N1tb0xox4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugwjr41EPQ2N1tb0xox4AaABAg
43,,@pokasmastre0987,"2025-11-15 17:50:06",1,yes,no,"5:00  energia existe",UCmL1uqPPIz4xxlBE37sLOdA,Ugwz_pXIgyKx3iXfdER4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugwz_pXIgyKx3iXfdER4AaABAg
44,,@whisperino,"2025-11-15 17:50:06",1,yes,no,"9:15 Chapó al Profesor Artés, sin duda el mas entendido de economía y microeconomía de los candidatos en el momento.",UCcZr1isrffUA4MBUymb0sHA,Ugx49pMP38I8795mLu54AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugx49pMP38I8795mLu54AaABAg
45,,@irenerojas8165,"2025-11-15 17:50:09",1,yes,no,"Y de dónde sacas los votos los comunistas si nadie quiere nada con ellos",UCsdOUA6xIyNSOFYuHLc9jjA,UgxVOt3ux3Vm1nc3eQR4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgxVOt3ux3Vm1nc3eQR4AaABAg
46,,@juannignaciogarcia,"2025-11-15 17:50:09",1,yes,no,"parisi 2026",UCCvOhqcS9QUl0OxdA-fsHkQ,UgwaYM7A0NJgprsJ9Ml4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgwaYM7A0NJgprsJ9Ml4AaABAg
47,,@obertens,"2025-11-15 17:50:09",3,yes,no,"La energia es un monopolio natural... o si no estaría lleno de cables por todos lados..",UCrrWlyDhsMUYMnJYGSwfobw,UgwdjMz7G9q4Nq0beyV4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgwdjMz7G9q4Nq0beyV4AaABAg
48,,@paulacid3327,"2025-11-15 17:50:09",3,yes,no,"No hablaron nada de dar trabajo a los discapacitados, a la discapacidad visual que es la más abandonada, inserción laboral, inclusión, son sólo palabras",UCG0woeRCelLrwUyBchwMs-w,Ugz4YevJ4CusljlKMWJ4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugz4YevJ4CusljlKMWJ4AaABAg
49,,@pedrosonnet,"2025-11-15 17:50:09",1,yes,no,"Ahora los comunistas Antichilenos están preocupados de la economía 😅",UCSu2-5m2cFTMUxqFAJlLlgA,Ugwey4JHmaTt_SD9wNZ4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugwey4JHmaTt_SD9wNZ4AaABAg
